Crop, Rainfall, Temperature, pH 
Bajra,8.0,21.32,6
Banana,10.7,22.5,6
Barley,10.7,22.5,6
Bean,6.9,20.73,6
Blackgram,6.9,20.73,6
Bottle Gourd,6.9,20.73,6
Brinjal,8.0,21.32,6
Carrot,10.7,22.5,6
Castor seed,57.6,24.79,6
Cauliflower,10.7,22.5,6
Chillies,8.0,21.32,6
Coriander,8.0,21.32,6
Cotton,10.7,22.5,6
Cowpea,24.3,23.8,6
Ginger,357.0,25.15,6
Grapes,10.7,22.5,6
Groundnut,8.0,21.32,6
Guar seed,8.0,21.32,6
Horse-gram,57.6,24.79,6
Jowar,8.0,21.32,6
Khesari,10.7,22.5,6
Lady Finger,6.9,20.73,6
Lentil,8.0,21.32,6
Linseed,24.3,23.8,6
Maize,57.6,24.79,6
Mesta,10.7,22.5,6
Moong(Green Gram),6.9,20.73,6
Moth,8.0,21.32,6
Orange,10.7,22.5,6
Papaya,699.9,24.88,6
Peas & beans (Pulses),8.0,21.32,6
Potato,8.0,21.32,6
Raddish,6.9,20.73,6
Ragi,10.7,22.5,6
Rice,24.3,23.8,6
Safflower,10.7,22.5,6
Sannhamp,24.3,23.8,6
Sesamum,10.7,22.5,6
Soyabean,10.7,22.5,6
Sugarcane,699.9,24.88,6
Sunflower,10.7,22.5,6
Sweet potato,24.3,23.8,6
Tapioca,24.3,23.8,6
Tomato,10.7,22.5,6
Turmeric,357.0,25.15,6
Urad,8.0,21.32,6
Varagu,10.7,22.5,6
Wheat,8.0,21.32,6
